name,pop_2008,pop_2018,bagrut_2018,academic_2018,academic_2008,bagrut_2008,shnot_limud_16_plus_2008,shnot_limud_16_plus_2018,year_median_imcome_2018,year_median_imcome_2008,mounth_median_imcome_2008,mounth_median_imcome_2018,groth_rate,bagrut_groth_rate,academic_groth_rate,income_groth_rate,shiur_bagrut_2008,shiur_bagrut_2018,shiur_academic_2008,shiur_academic_2018,pop_groth_rate,e_s_normal_grouth
קריית ים 23,1776,1819, , , , , , , , , , ,.0242117117117118, , , , , , , ,2.42117117117118,0
קריית ים 22,2064,2084,641,162,108,516,1386,1462,61200,41000,4000,5700,.00968992248062017,.242248062015504,.5,.425,25,30.7581573896353,5.23255813953488,7.77351247600768,.968992248062017,1
קריית ים 21,1271,1340, , , , , , , , , , ,.054287962234461, , , , , , , ,5.4287962234461,0
קריית ים 14,3471,4181,1895,817,568,1420,2309,2777,83700,63200,5700,7500,.204552002304811,.334507042253521,.438380281690141,.315789473684211,40.9104004609623,45.324085147094,16.3641601843849,19.5407797177709,20.4552002304811,1
קריית ים 13,3461,3300,1447,511,442,1329,2247,2263,66600,47300,4400,6100,-.0465183472984686,.0887885628291949,.156108597285068,.386363636363636,38.399306558798,43.8484848484848,12.7708754695175,15.4848484848485,-4.65183472984686,1
קריית ים 12,4387,3983,1964,792,879,2109,2887,2724,83700,60600,5300,7200,-.0920902666970594,-.0687529634898056,-.0989761092150171,.358490566037736,48.0738545703214,49.3095656540296,20.0364713927513,19.8845091639468,-9.20902666970594,1
קריית ים 11,2420,4825,2111,1031,411,949,1587,2846,110300,68300,6300,9700,.993801652892562,1.22444678609062,1.50851581508516,.53968253968254,39.2148760330578,43.7512953367876,16.9834710743802,21.3678756476684,99.3801652892562,0
קריית טבעון 4,2258,3393,1544,900,487,818,1146,1868,108900,76300,7200,9800,.502657218777679,.887530562347188,.848049281314168,.361111111111111,36.2267493356953,45.5054524020041,21.5677590788308,26.525198938992,50.2657218777679,0
קריית טבעון 3,4618,4958,2658,1703,1311,2191,2639,2701,96500,72000,6600,8600,.0736249458640104,.213144682793245,.299008390541571,.303030303030303,47.444781290602,53.6103267446551,28.3889129493287,34.3485276321097,7.36249458640104,1
קריית טבעון 2,3479,3792,2029,1380,1078,1754,1860,1998,105600,76600,7400,9600,.0899683817188848,.156784492588369,.280148423005566,.297297297297297,50.416786432883,53.5073839662447,30.9859154929577,36.3924050632911,8.99683817188848,1
קריית טבעון 1,5925,5978,2926,1768,1455,2487,3097,3255,90300,68900,6600,8100,.00894514767932497,.176517893043828,.215120274914089,.227272727272727,41.9746835443038,48.9461358313817,24.5569620253165,29.5751087320174,.894514767932497,1
קריית גת 37,2643,2470,1229,465,459,1160,1586,1671,81400,52400,4900,7200,-.0654559213015513,.0594827586206896,.0130718954248366,.469387755102041,43.8895194854332,49.7570850202429,17.366628830874,18.8259109311741,-6.54559213015513,1
קריית גת 36,3436,3608,1416,500,418,1141,1944,2384,72000,49800,4600,6600,.0500582072176949,.241016652059597,.196172248803828,.434782608695652,33.2072176949942,39.2461197339246,12.1653084982538,13.8580931263858,5.00582072176949,1
קריית גת 35,2378,2272,1128,390,415,1172,1518,1514,80500,55400,5000,7200,-.0445752733389403,-.037542662116041,-.0602409638554217,.44,49.2851135407906,49.6478873239437,17.4516400336417,17.1654929577465,-4.45752733389403,1
קריית גת 34,4112,3916,1725,572,565,1684,2584,2658,73100,51000,4700,6600,-.0476653696498055,.0243467933491686,.0123893805309734,.404255319148936,40.9533073929961,44.050051072523,13.7402723735409,14.6067415730337,-4.76653696498055,1
קריית גת 33,2877,3168,754,227,239,835,1527,1675,56700,40600,4000,5400,.101147028154327,-.0970059880239521,-.0502092050209205,.35,29.0232881473757,23.800505050505,8.30726451164407,7.16540404040404,10.1147028154327,1
קריית גת 32,3307,5735,1082,408,267,814,1748,2669,68200,48600,4700,6200,.734200181433323,.329238329238329,.528089887640449,.319148936170213,24.6144541880859,18.8666085440279,8.07378288478984,7.11421098517873,73.4200181433323,0
קריית גת 31,1080,1116, , , , , , , , , , ,.0333333333333334, , , , , , , ,3.33333333333334,0
קריית גת 25,3062,2940,812,244,249,935,1987,1779,71400,45200,4400,6500,-.0398432397126062,-.131550802139037,-.0200803212851406,.477272727272727,30.5355976485957,27.6190476190476,8.1319399085565,8.29931972789116,-3.98432397126062,1
קריית גת 24,4776,5260,1592,541,411,1450,3011,3192,77100,48800,4600,6800,.101340033500837,.0979310344827586,.316301703163017,.478260869565217,30.3601340033501,30.2661596958175,8.60552763819095,10.2851711026616,10.1340033500837,1
קריית גת 23,2427,2322,738,271,246,859,1573,1448,70000,48700,4600,6500,-.0432632880098888,-.140861466821886,.101626016260163,.41304347826087,35.3934899052328,31.7829457364341,10.1359703337454,11.6709732988803,-4.32632880098888,1
קריית גת 22,3258,3294,769,236,193,726,2022,1995,63400,38400,3900,5800,.011049723756906,.059228650137741,.22279792746114,.487179487179487,22.2836095764273,23.3454766241651,5.92387968078576,7.1645415907711,1.1049723756906,1
קריית גת 21,2377,3082,869,312,147,513,1449,1943,74600,46800,4500,6900,.296592343289861,.693957115009747,1.12244897959184,.533333333333333,21.5818258308793,28.1959766385464,6.18426588136306,10.1232965606749,29.6592343289861,0
קריית גת 15,3752,3599,939,251,275,1010,2374,2357,65200,40300,4000,6000,-.0407782515991472,-.0702970297029702,-.0872727272727273,.5,26.9189765458422,26.0905807168658,7.32942430703625,6.97415948874687,-4.07782515991472,1
קריית גת 14,3979,3860,1126,341,300,1019,2449,2580,70000,44200,4300,6400,-.0299070118120131,.105004906771345,.136666666666667,.488372093023256,25.6094496104549,29.1709844559585,7.53958280975119,8.83419689119171,-2.99070118120131,1
קריית גת 13,591,542, , , , , , , , , , ,-.0829103214890017, , , , , , , ,-8.29103214890017,0
קריית גת 12,3479,3526,1114,354,243,919,2178,2401,70400,45700,4300,6500,.0135096292037942,.212187159956474,.45679012345679,.511627906976744,26.4156366772061,31.5938740782757,6.98476573728083,10.0397050482133,1.35096292037942,1
קריית ביאליק 9,4379,4623,2057,1054,913,1899,2855,2880,94500,68600,6300,8300,.0557204841287966,.0832016850974198,.154435925520263,.317460317460317,43.366065311715,44.4949167207441,20.8495090203243,22.7990482370755,5.57204841287966,1
קריית ביאליק 8,2426,3909,1816,1063,528,1028,1392,2057,138500,91000,8400,12200,.611294311624073,.766536964980545,1.01325757575758,.452380952380952,42.3742786479802,46.4568943463802,21.7642209398186,27.1936556664108,61.1294311624073,0
קריית ביאליק 7,3522,3354,1315,615,543,1319,2281,2123,89100,61100,5500,7900,-.0477001703577513,-.00303260045489007,.132596685082873,.436363636363636,37.450312322544,39.2069171138939,15.4173764906303,18.3363148479428,-4.77001703577513,1
קריית ביאליק 6,2152,2024,875,408,417,908,1373,1334,88900,61100,5600,8000,-.0594795539033457,-.0363436123348018,-.0215827338129496,.428571428571429,42.1933085501859,43.2312252964427,19.3773234200744,20.1581027667984,-5.94795539033457,1
קריית ביאליק 5,4428,4727,1697,710,603,1501,2983,3180,82200,59400,5400,7300,.0675248419150858,.130579613590939,.177446102819237,.351851851851852,33.8979223125565,35.9001480854665,13.6178861788618,15.0200973133065,6.75248419150858,1
קריית ביאליק 4,2207,2475,1204,659,442,974,1486,1709,109200,84000,7600,9500,.121431807884006,.236139630390144,.490950226244344,.25,44.1323062981423,48.6464646464647,20.0271862256457,26.6262626262626,12.1431807884006,1
קריית ביאליק 3,3554,3658,1478,611,577,1337,2315,2462,83200,62600,5700,7400,.0292628024760833,.105459985041137,.0589254766031195,.298245614035088,37.6195835678109,40.4045926735921,16.2352279122116,16.7031164570804,2.92628024760833,1
קריית ביאליק 2,5467,5235,2037,733,789,2069,3441,3471,69200,52200,4700,6200,-.042436436802634,-.0154664088931851,-.0709759188846641,.319148936170213,37.8452533382111,38.9111747851003,14.432046826413,14.0019102196753,-4.2436436802634,1
קריית ביאליק 11,5342,5831,2245,1031,905,2043,3484,3857,77000,54500,5100,6900,.0915387495320106,.0988742046010769,.139226519337017,.352941176470588,38.2441033320854,38.5011147316069,16.9412205166604,17.6813582575888,9.15387495320106,1
קריית ביאליק 10,3686,4087,1703,869,695,1428,2303,2599,91800,63900,5900,8200,.108790016277808,.192577030812325,.250359712230216,.389830508474576,38.7411828540423,41.6687056520675,18.8551275094954,21.2625397602153,10.8790016277808,1
קריית אתא 32,3221,3460,1176,398,296,988,2069,2400,71600,49200,4600,6500,.0742005588326606,.190283400809717,.344594594594595,.41304347826087,30.6737038186898,33.9884393063584,9.18969264203663,11.5028901734104,7.42005588326606,1
קריית אתא 31,3392,4458,1527,594,318,1050,2324,3006,83200,54500,5100,7400,.314268867924528,.454285714285714,.867924528301887,.450980392156863,30.9551886792453,34.2530282637954,9.375,13.3243606998654,31.4268867924528,0
קריית אתא 25,5808,8390,2867,1136,598,1674,3692,5347,92100,61300,5500,8000,.444559228650138,.712664277180406,.899665551839465,.454545454545455,28.8223140495868,34.1716328963051,10.2961432506887,13.5399284862932,44.4559228650138,0
קריית אתא 24,4587,5883,1949,730,405,1237,2815,3836,84900,55300,5000,7600,.282537606278614,.575586095392078,.802469135802469,.52,26.9675168955745,33.1293557708652,8.82930019620667,12.4086350501445,28.2537606278614,0
קריית אתא 23,4427,5098,1683,628,522,1425,2821,3223,77100,56800,5200,6900,.151569911904224,.181052631578947,.203065134099617,.326923076923077,32.1888412017167,33.0129462534327,11.7912807770499,12.3185562965869,15.1569911904224,1
קריית אתא 22,4968,5199,1751,751,641,1579,3063,3350,79000,59000,5500,7200,.0464975845410629,.108929702343255,.171606864274571,.309090909090909,31.7834138486312,33.6795537603385,12.902576489533,14.4450855933833,4.64975845410629,1
קריית אתא 21,5917,6415,2367,962,742,2115,3781,4156,83300,57700,5300,7400,.0841642724353557,.119148936170213,.296495956873315,.39622641509434,35.7444651005577,36.8978955572876,12.5401385837418,14.9961028838659,8.41642724353557,1
קריית אתא 14,4483,4056,1422,406,466,1477,3040,2827,68100,49100,4500,6200,-.0952487173767567,-.037237643872715,-.128755364806867,.377777777777778,32.9466874860584,35.0591715976331,10.3948248940442,10.0098619329389,-9.52487173767567,1
קריית אתא 13,4549,4154,1539,497,503,1640,3069,2948,72500,51400,4800,6500,-.0868322708287536,-.0615853658536586,-.0119284294234593,.354166666666667,36.0518795339635,37.0486278285989,11.0573752473071,11.9643716899374,-8.68322708287536,1
קריית אתא 12,3701,4545,1624,670,368,1184,2442,2993,75100,43200,4200,6800,.228046473925966,.371621621621622,.820652173913043,.619047619047619,31.9913536881924,35.7315731573157,9.9432585787625,14.7414741474147,22.8046473925966,1
קריית אתא 11,5375,6602,3041,1523,946,2027,3197,3944,116800,86500,7700,10200,.228279069767442,.500246669955599,.609936575052854,.324675324675325,37.7116279069767,46.0617994547107,17.6,23.0687670402908,22.8279069767442,1
קריית ארבע,7008,7323,2434,1076,807,2020,3114,3600,57700,38500,3900,5500,.0449486301369864,.204950495049505,.333333333333333,.41025641025641,28.824200913242,33.2377440939506,11.5154109589041,14.6934316536938,4.49486301369864,1
קריית אונו 8,3064,7079,3550,2527,1068,1485,1326,2901,181400,142400,13000,16000,1.31037859007833,1.39057239057239,1.36610486891386,.230769230769231,48.4660574412533,50.1483260347507,34.8563968668407,35.6971323633282,131.037859007833,0
קריית אונו 7,1528,1233, , , , , , , , , , ,-.193062827225131, , , , , , , ,-19.3062827225131,0
קריית אונו 6,4790,4391,2096,1306,1245,2133,2781,2380,109200,73100,6700,9900,-.0832985386221294,-.0173464603844351,.048995983935743,.477611940298508,44.5302713987474,47.7340013664313,25.9916492693111,29.7426554315646,-8.32985386221294,1
קריית אונו 5,3916,4036,1844,1176,940,1669,2319,2247,106100,71400,6500,9600,.0306435137895813,.104853205512283,.251063829787234,.476923076923077,42.6200204290092,45.6888007928642,24.0040858018386,29.1377601585728,3.06435137895813,1
קריית אונו 4,3301,4514,1955,1178,628,1142,2004,2564,109100,70400,6300,9700,.367464404725841,.711908931698774,.875796178343949,.53968253968254,34.5955770978491,43.3097031457687,19.0245380187822,26.0965883916704,36.7464404725841,0
קריית אונו 3,3568,8530,3654,2504,828,1421,2127,3879,145200,77100,7000,12900,1.39069506726457,1.57142857142857,2.02415458937198,.842857142857143,39.8262331838565,42.8370457209848,23.2062780269058,29.3552168815944,139.069506726457,0
קריית אונו 2,4232,4418,2295,1437,1179,1944,2274,2363,111000,93200,8500,10000,.0439508506616257,.180555555555556,.21882951653944,.176470588235294,45.9357277882798,51.9465821638751,27.859168241966,32.5260298777727,4.39508506616257,1
קריית אונו 1,5590,5785,2878,1886,1527,2547,3246,3127,122300,83000,7700,10900,.0348837209302326,.12995681193561,.235101506221349,.415584415584416,45.5635062611807,49.7493517718237,27.3166368515206,32.6015557476232,3.48837209302326,1
קצרין,6456,7130,3150,1386,1082,2472,3766,4409,66900,47400,4600,6200,.104399008674102,.274271844660194,.280961182994455,.347826086956522,38.2899628252788,44.179523141655,16.7596034696406,19.4389901823282,10.4399008674102,1
קצר א-סר,986,2302,331,52, , , ,1047,60400, , ,5900,1.33468559837728, , , , ,14.3788010425717, ,2.25890529973936,133.468559837728,0
קלע,147,298, , , , , , , , , , ,1.02721088435374, , , , , , , ,102.721088435374,0
קלנסווה,18170,22788,4715,1650,825,2366,8591,12483,63600,46400,4500,5900,.254155200880572,.992814877430262,1,.311111111111111,13.0214639515685,20.6907144110936,4.54045129334067,7.24065297525013,25.4155200880572,0
קליה,294,416, , , , , , , , , , ,.414965986394558, , , , , , , ,41.4965986394558,0
קלחים,335,632, , , , , , , , , , ,.886567164179104, , , , , , , ,88.6567164179104,0
קיסריה,3996,5169,2707,1661,1146,1882,2099,2884,108400,90800,8500,9900,.293543543543544,.43836344314559,.449389179755672,.164705882352941,47.0970970970971,52.3698974656607,28.6786786786787,32.1338750241826,29.3543543543544,0
קטורה,451,471, , , , , , , , , , ,.0443458980044347, , , , , , , ,4.43458980044347,0
קורנית,670,925, , , , , , , , , , ,.380597014925373, , , , , , , ,38.0597014925373,0
קוממיות,351,542, , , , , , , , , , ,.544159544159544, , , , , , , ,54.4159544159544,0
קדרים,142,252, , , , , , , , , , ,.774647887323944, , , , , , , ,77.4647887323944,0
קדרון,1401,1618, , , , , , , , , , ,.154889364739472, , , , , , , ,15.4889364739472,0
קדר,824,1565, , , , , , , , , , ,.899271844660194, , , , , , , ,89.9271844660194,0
קדמת צבי,321,451, , , , , , , , , , ,.404984423676013, , , , , , , ,40.4984423676012,0
קדמה,189, , , , , , , , , , , , , , , , , , , , ,0
קדימה-צורן 5,2648,2961,962,494,387,733,1525,1781,75700,57100,5300,7000,.118202416918429,.312414733969986,.276485788113695,.320754716981132,27.6812688821752,32.4890239783857,14.6148036253776,16.6835528537656,11.8202416918429,1
קדימה-צורן 4,5574,5984,2616,1390,1094,1895,2763,3432,87900,77600,6800,8000,.0735557947613921,.380474934036939,.270566727605119,.176470588235294,33.9971295299605,43.716577540107,19.626838894869,23.2286096256685,7.35557947613921,1
קדימה-צורן 3,2639,4065,1850,1114,596,1055,1339,2072,112500,81500,7400,10500,.540356195528609,.753554502369668,.869127516778524,.418918918918919,39.9772641151951,45.510455104551,22.5843122394847,27.4046740467405,54.0356195528609,0
קדימה-צורן 1,5669,6059,3192,1606,1232,2247,2767,3554,96900,86500,7800,8700,.068795201975657,.420560747663551,.303571428571429,.115384615384615,39.6366202152055,52.6819607195907,21.7322279061563,26.5060240963855,6.8795201975657,1
קדומים,3693,4595,1869,1076,732,1473,1643,1959,79500,54000,5300,7300,.244245870565936,.268839103869654,.469945355191257,.377358490566038,39.8862713241267,40.6746463547334,19.821283509342,23.4167573449402,24.4245870565936,1
קבוצת יבנה,958,975, , , , , , , , , , ,.0177453027139876, , , , , , , ,1.77453027139876,0
צרעה,855,918, , , , , , , , , , ,.0736842105263158, , , , , , , ,7.36842105263158,0
צרופה,947,1106, , , , , , , , , , ,.167898627243928, , , , , , , ,16.7898627243928,0
צפת 8,4184,4570,1651,709,595,1350,2356,2749,69400,53700,4800,6300,.0922562141491396,.222962962962963,.191596638655462,.3125,32.2657743785851,36.1269146608315,14.2208413001912,15.5142231947484,9.22562141491396,1
צפת 7,3802,4810,949,360,349,945,2375,2599,47400,36400,3800,4900,.265123619147817,.00423280423280414,.0315186246418337,.289473684210526,24.8553392951078,19.7297297297297,9.17937927406628,7.48440748440748,26.5123619147817,0
צפת 6,4769,6023,781,265,243,726,2122,2526,28800,21600,2600,3700,.262948207171315,.0757575757575757,.0905349794238683,.423076923076923,15.2233172572866,12.9669599867176,5.09540784231495,4.399800763739,26.2948207171315,0
צפת 5,4031,4033,888,331,284,824,1920,2129,32300,25700,3400,4000,.000496154800297743,.0776699029126213,.165492957746479,.176470588235294,20.4415777722649,22.0183486238532,7.04539816422724,8.20728985866601,.0496154800297743,1
צפת 4,3519,4119,826,380,328,790,1728,1987,51100,38600,3900,4800,.170502983802217,.0455696202531646,.158536585365854,.230769230769231,22.4495595339585,20.0534110220927,9.32082978118784,9.22554017965526,17.0502983802217,1
צפת 3,911,636, , , , , , , , , , ,-.301866081229418, , , , , , , ,-30.1866081229418,0
צפת 2,4350,5418,1193,431,210,824,2196,2583,44500,34900,3700,4800,.24551724137931,.447815533980582,1.05238095238095,.297297297297297,18.9425287356322,22.0191952750092,4.82758620689655,7.95496493170912,24.551724137931,1
צפת 11,414,478, , , , , , , , , , ,.154589371980676, , , , , , , ,15.4589371980676,0
צפת 1,3634,3989,1433,657,407,857,1460,2308,69600,49700,4600,6500,.0976884975233903,.672112018669778,.614250614250614,.41304347826087,23.5828288387452,35.9237904236651,11.199779856907,16.4702933065931,9.76884975233903,1
צפרירים,317,391, , , , , , , , , , ,.233438485804417, , , , , , , ,23.3438485804417,0
צפרייה,630,956, , , , , , , , , , ,.517460317460317, , , , , , , ,51.7460317460317,0
צנדלה,1376,1609, , , , , , , , , , ,.169331395348837, , , , , , , ,16.9331395348837,0
צלפון,687,1015, , , , , , , , , , ,.477438136826783, , , , , , , ,47.7438136826783,0
ציפורי,688,970, , , , , , , , , , ,.409883720930233, , , , , , , ,40.9883720930233,0
צורית,707,907, , , , , , , , , , ,.282885431400283, , , , , , , ,28.2885431400283,0
צוריאל,299,335, , , , , , , , , , ,.120401337792642, , , , , , , ,12.0401337792642,0
צור נתן,231,319, , , , , , , , , , ,.380952380952381, , , , , , , ,38.0952380952381,0
צור משה,2731,3343,1516,919,779,1176,1347,1594,122500,109800,9700,11000,.224093738557305,.289115646258503,.179717586649551,.134020618556701,43.0611497619919,45.3484893807957,28.5243500549249,27.4902781932396,22.4093738557305,1
צור יצחק,100,6044,2433,1614, , , ,2606,136000, , ,12200,59.44, , , , ,40.2547981469226, ,26.7041694242224,5944,0
צור הדסה,5473,9583,4480,2756,1376,2247,2360,4391,121500,100100,8900,10600,.7509592545222,.993769470404984,1.00290697674419,.191011235955056,41.0560935501553,46.7494521548576,25.1416042389914,28.7592611916936,75.09592545222,0
צוקים,88,322, , , , , , , , , , ,2.65909090909091, , , , , , , ,265.909090909091,0
צוקי ים,209,265, , , , , , , , , , ,.267942583732057, , , , , , , ,26.7942583732057,0
צופר,321,439, , , , , , , , , , ,.367601246105919, , , , , , , ,36.7601246105919,0
צופית,1194,1271, , , , , , , , , , ,.0644891122278057, , , , , , , ,6.44891122278057,0
צופים,1052,2369,946,536, , , ,1122,98400, , ,8800,1.25190114068441, , , , ,39.932460953989, ,22.6255804136767,125.190114068441,0
צוחר,350,454, , , , , , , , , , ,.297142857142857, , , , , , , ,29.7142857142857,0
צובה,568,637, , , , , , , , , , ,.121478873239437, , , , , , , ,12.1478873239437,0
צבעון,76,245, , , , , , , , , , ,2.22368421052632, , , , , , , ,222.368421052632,0
צביה,280,327, , , , , , , , , , ,.167857142857143, , , , , , , ,16.7857142857143,0
צאלים,426,465, , , , , , , , , , ,.091549295774648, , , , , , , ,9.1549295774648,0
פתחיה,741,839, , , , , , , , , , ,.13225371120108, , , , , , , ,13.225371120108,0
פתח תקווה 524,4650,5145,1531,611,568,1372,2712,3204,71500,53400,4900,6400,.106451612903226,.115889212827988,.0757042253521127,.306122448979592,29.505376344086,29.757045675413,12.2150537634409,11.8756073858115,10.6451612903226,1
פתח תקווה 523,4238,8669,1970,994,229,674,1560,3554,84900,51900,4800,7800,1.04554034922133,1.92284866468843,3.34061135371179,.625,15.9037281736668,22.7246510554851,5.40349221330816,11.4661437305341,104.554034922133,0
פתח תקווה 522,4355,6550,2426,1429,893,1606,2096,2998,93100,72500,6500,8400,.504018369690012,.510585305105853,.600223964165733,.292307692307692,36.8771526980482,37.0381679389313,20.5051664753157,21.8167938931298,50.4018369690012,0
פתח תקווה 521,4240,5441,2216,1217,818,1562,2218,2727,97500,70900,6400,8800,.283254716981132,.418693982074264,.487775061124694,.375,36.8396226415094,40.7278073883477,19.2924528301887,22.3672119095754,28.3254716981132,0
פתח תקווה 516,1088,1224, , , , , , , , , , ,.125, , , , , , , ,12.5,0
פתח תקווה 515,1578,1794, , , , , , , , , , ,.136882129277567, , , , , , , ,13.6882129277567,0
פתח תקווה 514,834,770, , , , , , , , , , ,-.0767386091127098, , , , , , , ,-7.67386091127098,0
פתח תקווה 513,3424,3563,967,337,303,832,2002,2248,70200,51300,4700,6400,.0405957943925233,.162259615384615,.112211221122112,.361702127659574,24.2990654205607,27.1400505192254,8.84929906542056,9.4583216390682,4.05957943925233,1
פתח תקווה 512,3030,3393,1112,504,445,1000,1709,1888,74400,56300,5100,6700,.11980198019802,.112,.132584269662921,.313725490196078,33.003300330033,32.7733569112879,14.6864686468647,14.8541114058355,11.980198019802,1
פתח תקווה 511,1225,1951, , , , , , , , , , ,.59265306122449, , , , , , , ,59.265306122449,0
פתח תקווה 434,1445,1463, , , , , , , , , , ,.0124567474048443, , , , , , , ,1.24567474048443,0
פתח תקווה 433,3788,4092,1653,749,593,1422,2370,2607,91000,66400,5900,8100,.0802534318901795,.162447257383966,.263069139966273,.372881355932203,37.5395987328406,40.3958944281525,15.6546990496304,18.3040078201369,8.02534318901795,1
פתח תקווה 432,2860,2884,1072,446,418,963,1755,1784,86500,58800,5300,7600,.00839160839160846,.11318795430945,.0669856459330143,.433962264150943,33.6713286713287,37.1705963938974,14.6153846153846,15.4646324549237,.839160839160846,1
פתח תקווה 431,2429,2526,791,301,286,776,1576,1644,81400,58700,5200,7200,.0399341292713051,.0193298969072164,.0524475524475525,.384615384615385,31.947303417044,31.3143309580364,11.7743927542198,11.9160728424386,3.99341292713051,1
פתח תקווה 424,4037,4214,1712,739,658,1552,2547,2723,96000,65000,5800,8400,.0438444389398067,.103092783505155,.123100303951368,.448275862068966,38.4443893980679,40.6264831514001,16.2992321030468,17.5367821547224,4.38444389398067,1
פתח תקווה 423,4610,5463,1816,787,588,1522,2968,3531,90700,64500,5900,8000,.185032537960955,.193166885676741,.33843537414966,.35593220338983,33.0151843817787,33.2418085301117,12.7548806941432,14.4060040270913,18.5032537960955,1
פתח תקווה 422,2327,2841,1300,607,423,866,1324,1858,99000,77100,7000,8800,.220885259991405,.501154734411085,.434988179669031,.257142857142857,37.2152986678126,45.7585357268567,18.1779114740009,21.3657162970785,22.0885259991405,1
פתח תקווה 421,2981,3256,825,320,202,633,1848,2120,77900,55700,5100,7200,.0922509225092252,.303317535545024,.584158415841584,.411764705882353,21.2344850721234,25.3378378378378,6.77624958067763,9.82800982800983,9.22509225092252,1
פתח תקווה 415,2490,2499,740,302,291,706,1550,1616,82200,56500,5100,7400,.0036144578313253,.048158640226629,.0378006872852235,.450980392156863,28.3534136546185,29.6118447378952,11.6867469879518,12.0848339335734,.36144578313253,1
פתח תקווה 414,3993,3768,1318,487,457,1206,2537,2590,80600,57000,5100,7200,-.0563486100676184,.0928689883913765,.0656455142231946,.411764705882353,30.2028549962434,34.9787685774947,11.4450288004007,12.9246284501062,-5.63486100676184,1
פתח תקווה 413,1970,2035,750,347, , , ,1341,94100, , ,8300,.032994923857868, , , , ,36.8550368550369, ,17.051597051597,3.2994923857868,0
פתח תקווה 412,2830,2453,947,397,462,1033,1774,1607,80200,56700,5100,7200,-.13321554770318,-.0832526621490803,-.140692640692641,.411764705882353,36.5017667844523,38.6057888300041,16.3250883392226,16.1842641663269,-13.321554770318,1
פתח תקווה 411,1753,1717, , , , , , , , , , ,-.0205362236166572, , , , , , , ,-2.05362236166572,0
פתח תקווה 324,3505,3066,1258,593,745,1538,2273,1972,96100,69400,6200,8400,-.125249643366619,-.182054616384915,-.204026845637584,.354838709677419,43.8801711840228,41.030658838878,21.2553495007133,19.341161121983,-12.5249643366619,1
פתח תקווה 323,3066,2902,1322,589,596,1317,1933,1884,91400,62600,5600,8100,-.0534898891063275,.00379650721336366,-.011744966442953,.446428571428571,42.9549902152642,45.5547898001378,19.4390084801044,20.2963473466575,-5.34898891063275,1
פתח תקווה 322,2425,2430,1142,498,427,1019,1592,1594,84000,60900,5500,7400,.00206185567010309,.120706575073602,.166276346604215,.345454545454545,42.020618556701,46.9958847736626,17.6082474226804,20.4938271604938,.206185567010309,1
פתח תקווה 321,4574,4400,1889,853,747,1865,3031,2854,89500,65000,5800,7900,-.0380411018801924,.0128686327077747,.14190093708166,.362068965517241,40.7739396589418,42.9318181818182,16.3314385658067,19.3863636363636,-3.80411018801924,1
פתח תקווה 313,4172,3753,1629,665,693,1806,2834,2511,79200,56600,5100,7100,-.100431447746884,-.0980066445182725,-.0404040404040404,.392156862745098,43.2885906040268,43.4052757793765,16.6107382550336,17.7191580069278,-10.0431447746884,1
פתח תקווה 312,4797,4608,1994,767,745,2003,3179,3059,78200,55500,5000,7000,-.0393996247654784,-.0044932601098352,.0295302013422818,.4,41.7552637064832,43.2725694444444,15.5305399207838,16.6449652777778,-3.93996247654784,1
פתח תקווה 311,5077,4928,2143,886,942,2298,3354,3190,72700,53000,4800,6500,-.0293480401812094,-.0674499564838991,-.059447983014862,.354166666666667,45.2629505613551,43.4862012987013,18.5542643293283,17.9788961038961,-2.93480401812094,1
פתח תקווה 236,3213,3674,1318,641,627,1359,1899,1977,82700,58000,5400,7500,.143479614067849,-.0301692420897719,.0223285486443381,.388888888888889,42.296918767507,35.8737071311922,19.5144724556489,17.4469243331519,14.3479614067849,1
פתח תקווה 235,2444,2690,1118,568,530,1053,1469,1619,85000,68000,6200,7600,.100654664484452,.0617283950617284,.0716981132075472,.225806451612903,43.0851063829787,41.5613382899628,21.6857610474632,21.1152416356877,10.0654664484452,1
פתח תקווה 234,3272,3244,1566,746,718,1541,2194,2114,84300,60800,5500,7500,-.00855745721271395,.0162232316677482,.0389972144846797,.363636363636364,47.0965770171149,48.2737361282367,21.9437652811736,22.9963008631319,-.855745721271395,1
פתח תקווה 233,2928,3105,1430,688,619,1304,1904,1935,96500,74200,6500,8400,.0604508196721312,.0966257668711656,.111470113085622,.292307692307692,44.5355191256831,46.0547504025765,21.1407103825137,22.1578099838969,6.04508196721312,1
פתח תקווה 232,3091,3269,1537,787,718,1479,2004,2039,94000,72700,6400,8500,.0575865415723067,.0392156862745099,.0961002785515321,.328125,47.8485926884503,47.0174365249312,23.2287285668069,24.0746405628633,5.75865415723067,1
פתח תקווה 231,5868,6513,2981,1663,1411,2642,3305,3823,93300,74600,6800,8600,.109918200408998,.128311884935655,.17859673990078,.264705882352941,45.0238582140423,45.7699984646092,24.0456714383095,25.5335482880393,10.9918200408998,1
פתח תקווה 224,3256,3200,1394,792,777,1429,1888,1815,96400,75600,6900,8700,-.0171990171990172,-.0244926522043387,.0193050193050193,.260869565217391,43.8882063882064,43.5625,23.8636363636364,24.75,-1.71990171990172,1
פתח תקווה 223,3191,3667,1751,1051,824,1450,1813,1987,110100,83600,7600,9800,.149169539329364,.207586206896552,.275485436893204,.289473684210526,45.4403008461297,47.7502045268612,25.8226261360075,28.6610308153804,14.9169539329364,1
